AlbumID_Original,AlbumName,AlbumType,AlbumReleaseDate
ALB115557,FOREVER AND EVER,album,2021-04-09
ALB730959,OKAY OKAY 2,single,2025-05-16
ALB436151,FOREVER,album,2020-05-28
ALB672657,MADE IN ITALY,single,2023-02-09
ALB632366,POLKA 3,single,2022-06-02
ALB485122,Facciamolo,single,2019-06-07
ALB898686,BV3,album,2020-10-02
ALB639623,Fatass,single,2019-09-20
ALB270182,OKAY OKAY !!,album,2019-03-08
ALB692479,#digitalcity,album,2022-05-05
ALB272551,ALIENO,single,2020-01-17
ALB894810,BELLU GUAGLIONE,single,2023-05-18
ALB765476,I RAGAZZI STANNO BENE,album,2023-07-14
ALB931361,3SOME (feat. VillaBanks),single,2024-06-19
ALB538879,LA BELLAVITA,album,2025-03-28
ALB352571,non è normale,single,2022-11-03
ALB214026,COMINCIA TU (feat. Rosa Chemical),single,2022-02-05
ALB758409,BLACKOUT,single,2024-02-29
ALB141795,Cultura Italiana Pt.1,album,2024-05-31
ALB622240,Kournikova,single,2018-11-12
ALB190631,NoRd,album,2021-05-14
ALB991433,Dead Again,album,2007-03-13
ALB720191,Reversed Crash,album,2023-06-09
ALB132593,WE 2FLY,single,2024-08-02
ALB272993,The Execution Of All Things,album,2002-10-01
ALB271215,ShapeShifters,album,2008-06-17
ALB300834,Spaccio di Verità 1,single,2023-10-06
ALB262355,"TRASHBIN, Vol. 3",album,2020-07-23
ALB372767,Groupie,single,2018-12-11
ALB148515,KG0516,album,2021-03-26
ALB761176,Male O Bene,single,2019-05-24
ALB670345,"Red Bull 64 Bars, The Album",compilation,2021-05-27
ALB435554,Grizzly,single,2017-10-27
ALB645749,Morosita,single,2019-02-13
ALB869745,3nd,single,2018-02-14
ALB667746,Crisalide,album,2021-10-21
ALB805210,Vaniglia,single,2017-10-20
ALB872173,1 2 3,single,2024-05-10
ALB937261,TONICA,single,2019-10-02
ALB306927,444,single,2024-01-04
ALB602776,Chicas,single,2018-06-22
ALB225880,BANDA,single,2018-04-23
ALB293946,Fenty,single,2017-10-27
ALB701679,Introduction,album,2022-10-28
ALB989588,AIRBNB,single,2020-11-11
ALB106684,Roberta,single,2019-12-12
ALB563442,Cringe,single,2020-07-23
ALB844169,SUPERSEX (feat. Spender),single,2024-06-14
ALB302921,Regole,single,2022-06-23
ALB785547,family first,single,2021-08-19
ALB564654,Luga Pandemic,single,2023-01-01
ALB192625,Dentro di me,single,2024-02-23
ALB153532,Come Le Storie,single,2020-06-23
ALB983900,Intro,single,2021-08-19
ALB901542,X2VR,album,2023-11-17
ALB406845,Maracucho Bueno Muere Chiquito,album,2018-03-16
ALB864581,Black Panther The Album Music From And Inspired By,album,2018-02-09
ALB318872,La prima volta,single,2025-02-07
ALB974244,Mood Blu,single,2024-04-05
ALB462989,99 Visions,album,2023-12-05
ALB792793,Rolling Papers (feat. Tormento),single,2025-04-04
ALB969394,Motel Love,album,2024-06-21
ALB660715,in fieri,single,2022-12-12
ALB424885,Giù,album,2022-07-01
ALB283137,Sale,single,2025-04-04
ALB438257,VERA BADDIE,album,2024-06-27
ALB249800,Eclissi,album,2022-05-12
ALB163472,Limonare,single,2023-07-28
ALB873501,Electra Heart (Deluxe),album,2012-04-27
ALB602874,il filo rosso,single,2024-10-18
ALB218228,Before Wanderlust,album,2019-12-13
ALB472683,NoRd,album,2021-05-14
ALB563208,SANTANA MONEY GANG,album,2025-04-10
ALB677618,a me mi piace (feat. Manu Chao),single,2025-05-09
ALB105629,"Sogna, Ragazzo, Sogna",single,2024-03-06
ALB127934,Non so chi ha creato il mondo ma so che era innamorato,album,2024-02-16
ALB152467,bellissimissima <3,single,2023-05-12
ALB772523,Prima O Poi,single,2018-04-26
ALB870495,Non so chi ha creato il mondo ma so che era innamorato (Deluxe),album,2025-05-30
ALB306943,È FINITA LA PACE,album,2024-12-13
ALB291183,Santa Fe,single,2023-09-24
ALB663365,CI SARÒ,single,2021-09-24
ALB978644,Happy Birthday,single,2021-12-09
ALB537063,PARIGI,single,2022-03-04
ALB126052,Confusion,single,2024-10-16
ALB916862,PARIGI RMX,single,2022-03-25
ALB117763,Serenata (From ''Forever Out of My League''),single,2022-01-31
ALB805273,Le Cose In Comune,single,2023-02-24
ALB480572,You Make Me So Happy,single,2022-06-10
ALB295555,5 MINUTI,single,2022-11-28
ALB198162,2nd Exit,album,2016-09-13
ALB869694,NO MONEY,single,2019-06-19
ALB502301,SuperNOVA,album,2020-09-18
ALB596537,Cerco un posto,single,2022-10-07
ALB429433,Stelletella,single,2021-04-01
ALB167722,Sotto una pioggia di parole,album,2009-05-22
ALB355943,Viajo Sin Ver (Remix),single,2018-08-31
ALB914195,Jet Lag,single,2017-08-14
ALB282903,Papillon,single,2025-02-01
ALB571326,Messias,album,2016-02-05
ALB748916,ZÉPECK,album,2024-07-12
ALB600819,L'Alfabeto Degli Amanti,album,2006-02-28
ALB145377,Les plus belles polyphonies Corses (Les plus grandes polyphonies de Corses),album,2014-11-24
ALB913502,SIRIO,album,2022-04-07
ALB944970,Alfa Y Omega,album,2025-01-11
ALB520517,Demoni,single,2025-02-04
ALB530526,23 6451,album,2019-11-15
ALB430284,c@ra++ere s?ec!@le,album,2022-09-30
ALB778284,sFaCioLaTe miXTaPe,album,2024-07-26
ALB622409,CASA GOSPEL,album,2024-12-13
ALB925930,SE ME HACE EASY,single,2024-02-15
ALB273626,URAGANO DAMN,single,2023-12-15
ALB361886,Luga Pandemic,single,2023-01-01
ALB680880,Purpose,single,2020-09-17
ALB963932,L.A.,single,2014-11-29
ALB415032,Purple Thasup,single,2023-09-22
ALB338267,SANTANA MONEY GANG,album,2025-04-10
